UNOFFICIAL ELECTION RESULTS
ADA
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"1005 - SF","County Commissioner District 1","Ryan Davidson","1231","86.71%"
"1005 - SF","County Commissioner District 3","Devin Gutierrez","305","86.71%"
"1005 - SF","County Commissioner District 3","Tom Dayley","1221","86.71%"
"1005 - SF","County Sheriff","Doug Traubel","392","86.71%"
"1005 - SF","County Sheriff","Matthew Clifford","1124","86.71%"
"1005 - SF","County Prosecuting Attorney","Johnathan Baldauf","309","86.71%"
"1005 - SF","County Prosecuting Attorney","Jan Bennetts","1208","86.71%"
"1005 - SF","Retain Magistrate Judge Ransom Bailey","YES","829","86.71%"
"1005 - SF","Retain Magistrate Judge Ransom Bailey","NO","271","86.71%"
"1005 - SF","Retain Magistrate Judge Susan Clark","YES","817","86.71%"
"1005 - SF","Retain Magistrate Judge Susan Clark","NO","287","86.71%"
"1005 - SF","Retain Magistrate Judge Danica Comstock","YES","784","86.71%"
"1005 - SF","Retain Magistrate Judge Danica Comstock","NO","270","86.71%"
"1005 - SF","Retain Magistrate Judge Kira L. Dale","YES","771","86.71%"
"1005 - SF","Retain Magistrate Judge Kira L. Dale","NO","260","86.71%"
"1005 - SF","Retain Magistrate Judge Michael Dean","YES","770","86.71%"
"1005 - SF","Retain Magistrate Judge Michael Dean","NO","262","86.71%"
"1005 - SF","Retain Magistrate Judge Andrew Ellis","YES","758","86.71%"
"1005 - SF","Retain Magistrate Judge Andrew Ellis","NO","273","86.71%"
"1005 - SF","Retain Magistrate Judge Laurie A. Fortier","YES","766","86.71%"
"1005 - SF","Retain Magistrate Judge Laurie A. Fortier","NO","265","86.71%"
"1005 - SF","Retain Magistrate Judge Theresa Gardunia","YES","757","86.71%"
"1005 - SF","Retain Magistrate Judge Theresa Gardunia","NO","266","86.71%"
"1005 - SF","Retain Magistrate Judge Cathleen MacGregor Irby","YES","751","86.71%"
"1005 - SF","Retain Magistrate Judge Cathleen MacGregor Irby","NO","276","86.71%"
"1005 - SF","Retain Magistrate Judge Regan C. Jameson","YES","766","86.71%"
"1005 - SF","Retain Magistrate Judge Regan C. Jameson","NO","244","86.71%"
"1005 - SF","Retain Magistrate Judge Joanne Kibodeaux","YES","745","86.71%"
"1005 - SF","Retain Magistrate Judge Joanne Kibodeaux","NO","271","86.71%"
"1005 - SF","Retain Magistrate Judge David D. Manweiler","YES","755","86.71%"
"1005 - SF","Retain Magistrate Judge David D. Manweiler","NO","264","86.71%"
"1005 - SF","Retain Magistrate Judge Michael McLennan","YES","757","86.71%"
"1005 - SF","Retain Magistrate Judge Michael McLennan","NO","258","86.71%"
