Budget,Program,Bill,Status,Description
<b>Reduction</b>,<i>General Government</i><br>Office of the Governor<br><b>Office of Drug Policy</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>Salary savings generated from vacant positions are
being reverted at this time. While these savings
reflect short-term efficiencies, continued reversion
could eventually have a negative impact on General Fund
personnel costs. Specifically, if the Governor and
Legislature appoint a Director for the Office of Drug
Policy, the resulting salary and benefit obligations
would eliminate current vacancy savings and place
additional pressure on personnel expenditures. Over
time, this could reduce staffing flexibility and limit
the ability to absorb future personnel costs within the General Fund."
<b>Reduction</b>,<i>General Government</i><br>Office of the Governor<br><b>Office of Energy & Mineral Resources</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>General Government</i><br>Office of the Governor<br><b>Office of Information Technology Services</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>This plan protects the personnel budget as all
positions and labor hours are critical to fulfilling
our mission, and it excludes reductions to critical
line-item projects in progress as part of our combined
FY 2026 and FY 2027 plan to sustain critical services
during this challenging budget period. To fulfill this
additional budget reduction, ITS would further reduce
expenditures within the employee travel/training
portion of our spending plan, which includes employee
travel, employe development, and both individual and
group memberships. 69% of the ITS travel plan is for
essential IT support of the statewide network, agency
customers and necessary memberships. This includes
on-site support of network and customers, deployment of
computers and networking equipment, multi-partner
cybersecurity drills, and required administrative
travel. The other 31% is to ensure employees are
current with skills and knowledge with constantly
developing IT industry standards to reduce statewide
risks of cyber threats and maintain statewide employee
productivity. Funding reductions would be from the
later 31% until prioritized funding becomes available.
These additional reductions would increase risks of
outdated critical knowledge and delayed customer
support. Within this area, ITS also rents vehicles to
provide necessary customer support given the limited
number of vehicles in the fleet. For FY 2026, ITS has
already placed a freeze on all non-essential travel (as
described above) as we work through an internal FY
2026-2027 critical services plan to sustain the
statewide network and manage risks. Any further
reductions will limit resources to solve that critical services effort."
<b>Reduction</b>,<i>General Government</i><br>Office of the Governor<br><b>Office of Species Conservation</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>General fund budget reductions will impact the
Terrestrial program resulting in less stakeholder
engagement. For FY26 the sage-grouse program has
obligated the all of the general funding available
through agreements. If the program needs to reduce 1 –
2% for FY26, the program will need to take away funding
from projects that we have agreed to fund and are
planned to be implemented before June. This would
remove funding that is helping private landowners with
sagegrouse habitat restoration or funding that has been
identified to help the Rangeland Fire Protection
Associations with personal protective equipment (PPE)
and radios for communications when fighting wildfire."
<b>Reduction</b>,<i>General Government</i><br>Office of the Governor<br><b>Public Employee Retirement System</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>General Government</i><br>Office of the Governor<br><b>State Liquor Division</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>General Government</i><br>Office of the Governor<br><b>STEM Action Center</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>An additional 1% ($33, 500) cut to STEM Action Center’s
budget will be achieved through salary savings that we
have confidence in. . . This salary savings is a part
of the additional 2. 0 FTP that the STEM AC is planning
to return via pending consolidation legislation with
the Workforce Development Council. It is the maximum
amount STEM AC can reduce without leaving the agency at
risk of any uncertain payroll actions such as turnover,
vacation payout, or overtime."
<b>Reduction</b>,<i>General Government</i><br>Office of the Governor<br><b>Wolf Depredation Control Board</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>This reduction would directly decrease funding
available for wolf management operations, including
depredation inspections by U. S. Wildlife Services and
Board-supported projects, and would limit the Board’s
ability to maintain readiness and respond during
periods of increased depredation, resulting in fewer
inspections, longer response times, and delayed
management actions when impacts to livestock and
wildlife are highest."
<b>Reduction</b>,<i>General Government</i><br>Office of the Governor<br><b>Workforce Development Council</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Health & Human Services</i><br><b>State Independent Living Council</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
